Timestamp (s),Time Format (HH:MM:SS),Value
9596.000,02:39:56,4751.0
9598.000,02:39:58,47510
9600.000,02:40:00,47565
9602.000,02:40:02,47565
9604.000,02:40:04,47565
9606.000,02:40:06,47565
9608.000,02:40:08,47565
9610.000,02:40:10,47565
9612.000,02:40:12,4756.5
9614.000,02:40:14,4756.5
9616.000,02:40:16,4756.5
9618.000,02:40:18,4756.5
9620.000,02:40:20,4756.0
9622.000,02:40:22,4756.0
9624.000,02:40:24,4756.0
9626.000,02:40:26,4756.0
9628.000,02:40:28,4756.0
9630.000,02:40:30,4756.0
9632.000,02:40:32,4756.0
9634.000,02:40:34,4756.0
9636.000,02:40:36,4756.0
9638.000,02:40:38,4756.0
9640.000,02:40:40,4756.0
9642.000,02:40:42,4756.0
9644.000,02:40:44,47555
9646.000,02:40:46,47555
9648.000,02:40:48,47555
9650.000,02:40:50,47555
9652.000,02:40:52,47555
9654.000,02:40:54,47555
9656.000,02:40:56,47555
9658.000,02:40:58,47555
9660.000,02:41:00,47555
9662.000,02:41:02,47555
9664.000,02:41:04,47555
9666.000,02:41:06,47555
9668.000,02:41:08,47555
9670.000,02:41:10,47555
9672.000,02:41:12,4755.0
9674.000,02:41:14,4755.0
9676.000,02:41:16,4755.0
9678.000,02:41:18,4755.0
9680.000,02:41:20,4755.0
9682.000,02:41:22,4755.0
9684.000,02:41:24,4755.0
9686.000,02:41:26,4755.0
9688.000,02:41:28,4755.0
9690.000,02:41:30,4755.0
9692.000,02:41:32,4755.0
9694.000,02:41:34,4755.0
9696.000,02:41:36,4755.0
9698.000,02:41:38,4755.0
9700.000,02:41:40,47545
9702.000,02:41:42,47545
9704.000,02:41:44,47545
9706.000,02:41:46,47545
9708.000,02:41:48,47545
9710.000,02:41:50,47545
9712.000,02:41:52,47545
9714.000,02:41:54,47545
9716.000,02:41:56,47545
9718.000,02:41:58,47545
9720.000,02:42:00,47545
9722.000,02:42:02,47540
9724.000,02:42:04,47540
9726.000,02:42:06,47540
9728.000,02:42:08,47540
9730.000,02:42:10,47540
9732.000,02:42:12,47540
9734.000,02:42:14,47540
9736.000,02:42:16,47540
9738.000,02:42:18,47540
9740.000,02:42:20,47540
9742.000,02:42:22,47540
9744.000,02:42:24,47540
9746.000,02:42:26,47540
9748.000,02:42:28,47535
9750.000,02:42:30,47535
9752.000,02:42:32,47535
9754.000,02:42:34,47535
9756.000,02:42:36,47535
9758.000,02:42:38,47535
9760.000,02:42:40,47535
9762.000,02:42:42,47535
9764.000,02:42:44,47535
9766.000,02:42:46,
